wallet	ticks	apr	total_profit_usd	mid_deposited_usd	rebalances	in_range	rebalances_gap_hours	mid_duration_hours	impermanent_loss_avg	auto_rebalance	vfat_cutoff_tick_low_avg	vfat_cutoff_tick_high_avg	vfat_buffer_ticks_below_avg	vfat_buffer_ticks_above_avg
0x7841708ee45e96464bbd5ec53f2f0b5671e720c2	1	86.69	9.38	1265.77	2	34.50	0	48	0	0	0	0	0	0
0x28165971e4d592ca6c45a3786786ec2f6b4b8d23	9	85.31	1.61	378.52	2	89.00	3	12	0	0	0	0	0	0
0x9f9e3267673c40b8819680340ee0ceec3428275f	1	70.59	0.17	41.44	2	100.00	0	3	0	0	0	0	0	0
0xfcbe02c757d572c7bdea24a9c4443f74563e9d73	60	52.22	0.80	562.48	1	100.00	0	7	0	0	0	0	0	0
0x4ffd0a59a26cb2aa76d403215e4cc2845c053994	5	48.47	0.04	3.34	1	1.00	0	219	0	0	0	0	0	0
0x1265156d15eccf173f39c41bbe028c95cc420388	1	40.41	72.95	11501.85	2	77.50	0	90	0	0	0	0	0	0
0x19f29007707989212d19d7687fb29ead1338f006	14	39.38	10.36	9601.78	1	100.00	0	10	0	0	0	0	0	0
0xbbc5a47f92e5d00c20fe570acf718b568bd6a7cf	2	37.94	0.11	101.06	1	100.00	0	4	2.843503210669951e-10	0	0	0	0	0
0xfcbe02c757d572c7bdea24a9c4443f74563e9d73	1	30.95	1.90	473.57	2	81.00	0	27	2.335961757360394e-7	0	0	0	0	0
0x28165971e4d592ca6c45a3786786ec2f6b4b8d23	14	30.68	0.36	425.75	1	100.00	0	3	0	0	0	0	0	0
0x81f0fabca380ebf6c78e291a89b2148e78b78b38	1	29.06	0.16	50.12	1	61.00	0	86	0	0	0	0	0	0
0x25d53e1fe43e686cc669fb4e992891e63588434c	2	28.80	1.56	1982.46	1	95.00	0	12	5.115298962188319e-7	0	0	0	0	0
0xa4dcd05cf67ec169709f3ab845755bb4e6bda752	1	28.14	0.08	48.98	2	100.00	0	2	2.929471720758414e-7	0	0	0	0	0
0x862ece63f0613a349a748fcb2da4631c7b8e0019	1	25.44	79.31	16257.46	1	57.00	0	159	2.6273239139840143e-8	1	-887272	887272	0	0
0xba40c04a9d389a105be0cddb823fbb768ca62c3c	1	20.83	0.86	375.01	1	62.00	0	88	5.106681744138086e-9	0	0	0	0	0
0x3f888f4e16a08c6b3745ddbade98e24569852fa4	1	18.88	47.84	18493.42	1	56.00	0	113	0	1	-887272	887272	0	0
0x1d84a7e2eb9fcea5cc824e072ee447e881fcfd84	1	12.77	0.37	210.11	1	57.00	0	97	0.000060114668742894395	0	0	0	0	0
0xbb1151ab73c8076ee281f83e0e219f792ef65e5b	2	12.51	134.90	43720.21	1	56.00	0	213	7.4471168121093e-7	0	0	0	0	0
0x83ce0c26203e5f10ea0e140ef5af8a328f1766a7	1	9.81	5.31	9873.48	1	51.00	0	35	0.0000013887813565816032	0	0	0	0	0
0x154b4661a08eaffc746bdf7451a17ee50ee904cf	2	9.32	1.57	6163.81	1	64.00	0	24	0	1	-887272	887272	0	0
0x9a01ce1ecbb36e4f3892c94f6243a4e27e5ce3de	11	8.37	0.60	2636.19	1	100.00	0	8	0	0	0	0	0	0
0x154b4661a08eaffc746bdf7451a17ee50ee904cf	1	8.28	50.00	5504.00	3	56.00	0	184	0.000003716574488906351	0.3333333333333333	-295757.3333333333	295757.3333333333	0	0
0x9293548e4b270450ce46a3168c9e5985d7b806d2	1	8.24	237.41	30924.27	6	46.33	67	167	0	0	0	0	0	0
0x8f25818ff64be1abee91abca70c306b33b602062	1	7.37	40.75	31267.44	2	74.50	0	24	0	0	0	0	0	0
0xa2da709980effc0fa9413efec7f5f86a849ecb93	1	6.91	0.03	38.42	1	52.00	0	73	0	0	0	0	0	0
0x1325625ae81846e80ac9d0b8113f31e1f8b479a8	1	6.78	19.70	4580.24	5	65.60	0	58	0.0000013013036159748026	0	0	0	0	0
0x1813dfb29192f0842cfeb4ec6a7fc800ae9a2a86	3	6.46	0.60	482.05	1	55.00	0	166	4.1901150327205983e-7	0	0	0	0	0
0xc0c249ddc87aba28bea1d46e98835359846a1ef6	1	6.40	0.21	293.35	1	50.00	0	96	0	0	0	0	0	0
0x44b9d51be47654a7faf7caab5fe4f5bcdf6ab0cc	1	6.15	216.09	51584.45	5	66.00	0	62	0.0000016624734655579232	0	0	0	0	0
0xa302cb3b3775952983b97ae6b3a32a1f59f2188a	1	6.09	13.41	7222.07	2	60.50	0	129	1.5038505440934102e-7	0	0	0	0	0
0x664d8f8f2417f52cbbf5bd82ba82eefc58a87f07	1	5.75	207.32	130171.51	3	53.67	2	89	5.556339684649932e-7	0	0	0	0	0
0x8623f010312c48139563809c0c7aad88b01bba75	2	5.71	0.44	235.17	1	44.00	0	265	0	0	0	0	0	0
0x788b8b3e7063d17fb0c6dfdbf26d45b82f51c82c	1	5.27	7.40	10253.34	1	46.00	0	104	2.2034418734051542e-8	0	0	0	0	0
0x0826b89136190e01e8e8c14b086f9980f60253a0	1	5.23	0.09	307.95	2	79.00	0	6	8.665273498742465e-8	0	0	0	0	0
0xf50ba81a48d10ff5ddb1beef871008e1ddc4aaee	25	5.01	2.13	5159.52	1	37.00	0	65	0	0	0	0	0	0
0x5ce5c394a0f8a4be282c8659e405524a089a9843	1	4.63	0.45	447.76	1	44.00	0	188	0	0	0	0	0	0
0xca61379c9e5cacce2be701755eb76be2ff2388dd	5	4.35	1.75	506.89	1	40.00	0	690	0	0	0	0	0	0
0xfde34a676aa8d44b66d5ced822831a5b1454f8b0	3	4.21	0.62	675.75	1	55.00	0	169	5.972287775435348e-7	0	0	0	0	0
0x1d34b59319e1b4fb2067f863affca381cc89a34c	2	4.13	0.06	71.81	1	48.00	0	145	0	0	0	0	0	0
0xfc9b2ff6f59721d3a04c7a7c32426ab280936975	1	3.23	11.69	5121.93	2	42.50	0	242	0.000011993588322489757	0	0	0	0	0
0x8a86690902182d4f742ba81a988ec27feab16269	1	3.01	86.22	30494.82	3	33.67	0	169	0	0	0	0	0	0
0x40677369e4caf95b971cd3d6b97a29dbc46be30f	5	2.30	0.30	475.78	1	53.00	0	221	0	0	0	0	0	0
0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	1	2.27	3.97	12274.24	5	91.00	0	2	0.0000075013318445726895	1	-887272	887272	0	0
0x40677369e4caf95b971cd3d6b97a29dbc46be30f	1	2.14	0.01	41.42	1	54.00	0	143	1.6858789919638184e-7	0	0	0	0	0
0xf50ba81a48d10ff5ddb1beef871008e1ddc4aaee	1	2.13	1.17	6207.22	2	30.50	0	108	0	0	0	0	0	0
0x62fa348c4bf5c1ca166cc64dccdab0db0e35753e	5	2.12	2.24	2756.09	1	61.00	0	314	0	0	0	0	0	0
0x120cc2c98fecb24f6a25b2c1b014d512619657a9	1	1.82	0.65	13084.86	1	100.00	0	16	0	0	0	0	0	0
0x745b76c7f491bf9d4b202959e4576548808a52e8	5	1.61	0.15	473.41	1	56.00	0	160	0	0	0	0	0	0
0xd427c1540623c7414adef428d06a6f32d9fe7d7c	5	1.29	0.14	399.01	1	59.00	0	240	0	0	0	0	0	0
0xd43a72d2212d8c285299f2b2655f8ccb946e9d8b	5	1.29	0.00	13.79	1	0.00	0	0	0.007244405260087294	0	0	0	0	0
0x1993d3900ffdba309cec72a5188c7f165ec263e8	5	1.26	0.02	41.87	1	42.00	0	403	0	0	0	0	0	0
0xf01f8aef3d710e05ed4845c9903dec54bf3b0e77	5	0.75	0.04	129.37	1	38.00	0	316	0	0	0	0	0	0
0x510e9965c96f89b1b903caf0d252ea626a2c478e	7	0.49	0.01	565.71	1	0.00	0	0	0.000004905624717554957	0	0	0	0	0
0x5aa36d5d30ea23a3e13880e0f13ce3a0309ea8f4	3	0.34	0.01	1479.30	1	14.00	0	7	0.0000033834188561954193	0	0	0	0	0
0x50917583abfab08a5f3c3e12654b52053ebd80cd	1	0.27	0.00	35.86	1	100.00	0	1	0	0	0	0	0	0
0x5ebb8663b9d213026ad9776dba264c3ef1a40f37	6190	0.08	0.03	1693.31	1	47.00	0	146	0	0	0	0	0	0
0x154b4661a08eaffc746bdf7451a17ee50ee904cf	3	0.02	0.00	1143.56	1	100.00	0	0	0	1	-887272	887272	0	0
0x81f0fabca380ebf6c78e291a89b2148e78b78b38	3	0.02	0.00	220.45	1	100.00	0	0	0	0	0	0	0	0
0xf50ba81a48d10ff5ddb1beef871008e1ddc4aaee	28	0.01	0.00	5134.60	1	100.00	0	6	6.185829626303985e-10	0	0	0	0	0
